,Rk,Player,player_id,Team,Pos,Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TD,Int,1st,1st%,Lng,20+,40+,Sck,Rate
27,28,Marcus Mariota,MAR186347,TEN,QB,146,216,67.6,24.0,1583,7.3,175.9,7,6,80,37.0,51,20,1,29,88.2
28,29,Josh Rosen,ROS357433,ARI,QB,125,228,54.8,28.5,1416,6.2,177.0,9,10,68,29.8,75T,17,3,22,68.5
29,30,Jameis Winston,WIN623708,TB,QB,108,164,65.9,32.8,1380,8.4,276.0,8,11,75,45.7,60T,15,3,13,80.3
30,31,C.J. Beathard,BEA000000,SF,QB,102,169,60.4,28.2,1252,7.4,208.7,8,7,60,35.5,82T,17,4,18,81.8
31,32,Brock Osweiler,OSW479182,MIA,QB,113,178,63.5,29.7,1247,7.0,207.8,6,4,58,32.6,75T,13,3,16,86.0
32,33,Ryan Tannehill,TAN298716,MIA,QB,85,129,65.9,25.8,972,7.5,194.4,8,5,42,32.6,75T,9,2,11,92.9
33,34,Josh Allen,ALL529264,BUF,QB,75,139,54.0,23.2,832,6.0,138.7,2,5,37,26.6,57,11,2,21,61.8
34,35,Jimmy Garoppolo,GAR363225,SF,QB,53,89,59.6,29.7,718,8.1,239.3,5,3,35,39.3,56,9,1,13,90.0
35,36,Nick Mullens,MUL486612,SF,QB,43,61,70.5,30.5,512,8.4,256.0,4,2,24,39.3,71,6,2,0,104.0
36,37,Tyrod Taylor,TAY764868,CLE,QB,42,85,49.4,21.2,473,5.6,118.2,2,2,17,20.0,47T,7,1,13,64.5
37,38,Derek Anderson,AND180512,BUF,QB,42,70,60.0,35.0,465,6.6,232.5,0,4,22,31.4,40,6,1,5,56.0
38,39,Nick Foles,FOL058566,PHI,QB,54,82,65.9,41.0,451,5.5,225.5,1,1,19,23.2,50,3,1,5,78.9
39,40,Sam Bradford,BRA101548,ARI,QB,50,80,62.5,26.7,400,5.0,133.3,2,4,16,20.0,35T,6,0,6,62.5
40,41,Blaine Gabbert,GAB221145,TEN,QB,36,61,59.0,15.2,360,5.9,90.0,2,2,21,34.4,28,1,0,4,73.1
41,42,Colt McCoy,MCC603149,WAS,QB,30,50,60.0,25.0,322,6.4,161.0,3,3,16,32.0,53T,3,1,5,73.9
42,43,Nathan Peterman,PET071806,BUF,QB,44,81,54.3,20.2,296,3.7,74.0,1,7,13,16.0,26,3,0,7,30.7
43,44,Lamar Jackson,JAC323395,BAL,QB,20,31,64.5,3.1,237,7.6,23.7,1,1,11,35.5,26T,3,0,4,85.0
44,45,Matt Barkley,BAR192558,BUF,QB,15,25,60.0,25.0,232,9.3,232.0,2,0,12,48.0,47,4,2,1,117.4
45,46,Chase Daniel,DAN230354,CHI,QB,27,37,73.0,9.2,230,6.2,57.5,2,0,12,32.4,29,2,0,4,106.8
46,47,Cody Kessler,KES701662,JAX,QB,21,30,70.0,30.0,156,5.2,156.0,1,1,9,30.0,15,0,0,4,79.3
47,48,Josh McCown,MCC600777,NYJ,QB,17,34,50.0,34.0,135,4.0,135.0,0,2,7,20.6,22,1,0,3,35.8
48,49,Jeff Driskel,DRI392790,CIN,QB,6,7,85.7,2.3,84,12.0,28.0,0,0,3,42.9,37,1,0,0,116.7
49,50,Taysom Hill,HIL609597,NO,QB,3,6,50.0,0.5,64,10.7,5.8,0,0,3,50.0,44,1,1,1,88.2
